tripID, vehicleID, latitude, longitude
GO604_20_429_1,GO604_20_429_1,40.74926,-73.989685
GO604_20_414,GO604_20_414,40.829037,-73.6874
GO604_20_431_1,GO604_20_431_1,40.750587,-73.99358
GO604_20_416,GO604_20_416,40.829037,-73.6874
GO604_20_418,GO604_20_418,40.763153,-73.77125
GO604_20_433,GO604_20_433,40.74933,-73.852905
GO604_20_435,GO604_20_435,40.806335,-73.695885
GO604_20_63,GO604_20_63,40.74926,-73.989685
GO604_20_48,GO604_20_48,40.70069,-73.32406
GO604_20_2018,GO604_20_2018,40.808086,-73.10594
GO604_20_1637,GO604_20_1637,40.74926,-73.989685
GO604_20_733,GO604_20_733,40.683598,-73.97567
GO604_20_424_METS,GO604_20_424_METS,40.829037,-73.6874
GO604_20_50,GO604_20_50,40.68094,-73.402374
GO604_20_67,GO604_20_67,40.7434,-73.94499
GO604_20_2317,GO604_20_2317,40.74926,-73.989685
GO604_20_2041,GO604_20_2041,40.74926,-73.989685
GO604_20_2707,GO604_20_2707,40.79899,-72.864426
GO604_20_2734,GO604_20_2734,40.821316,-72.70526
GO604_20_2820,GO604_20_2820,40.609142,-73.75054
GO604_20_2833,GO604_20_2833,40.683598,-73.97567
GO604_20_426_METS,GO604_20_426_METS,40.829037,-73.6874
GO604_20_441_METS,GO604_20_441_METS,40.74926,-73.989685
GO604_20_1622,GO604_20_1622,40.85301,-73.40952
GO604_20_623,GO604_20_623,40.767174,-73.528534
GO604_20_65,GO604_20_65,40.74857,-73.987976
GO604_20_52,GO604_20_52,40.69903,-73.33009
GO604_20_102,GO604_20_102,40.67299,-73.508965
GO604_20_610,GO604_20_610,40.92252,-73.12684
GO604_20_851,GO604_20_851,40.74857,-73.987976
GO604_20_913,GO604_20_913,40.661156,-73.703026
GO604_20_1641,GO604_20_1641,40.721786,-73.8508
GO604_20_2050,GO604_20_2050,40.741493,-73.63609
GO604_20_718,GO604_20_718,40.716583,-73.62614
GO604_20_443_METS,GO604_20_443_METS,40.7429,-73.94627
GO604_20_2706,GO604_20_2706,40.801704,-72.81077
GO604_20_751,GO604_20_751,40.678574,-73.95144
GO604_20_69,GO604_20_69,40.747746,-73.98645
GO604_20_428_METS,GO604_20_428_METS,40.796722,-73.6999
GO604_20_824,GO604_20_824,40.590183,-73.66482
GO604_20_2051,GO604_20_2051,40.749702,-73.601654
GO604_20_1702,GO604_20_1702,40.70107,-73.80392
GO604_20_105,GO604_20_105,40.661125,-73.70321
GO604_20_550,GO604_20_550,40.865833,-73.616165
GO604_20_104,GO604_20_104,40.70671,-73.8276
GO604_20_2768,GO604_20_2768,40.740498,-73.08188
GO604_20_2851,GO604_20_2851,40.666813,-73.747375
GO604_20_517,GO604_20_517,40.832226,-73.62612
GO604_20_950,GO604_20_950,40.70196,-73.64165
GO604_20_2850,GO604_20_2850,40.701004,-73.80347
GO604_20_445_METS,GO604_20_445_METS,40.763153,-73.77125
GO604_20_103,GO604_20_103,40.74564,-73.90255
GO604_20_250,GO604_20_250,40.817398,-72.99891
GO604_20_107,GO604_20_107,40.67948,-73.431145
GO604_20_108,GO604_20_108,40.750587,-73.99358
GO604_20_430_METS,GO604_20_430_METS,40.74585,-73.90298
