id, name, centroid
1008,RENIERS,793219.7309820823 7088163.757298923
1009,EUGENE TOUSSAINT,793207.872902863 7087983.17234693
1010,LE ROUX,793186.1905921504 7087673.098830071
1014F,MIROIR,793423.4482400334 7086850.070941126
1015,BERVOETS,793192.6791333148 7080804.063909596
1016,WILLEBROEK,795498.4278195949 7086044.556167984
1018,BON AIR,789948.806050028 7082905.623246316
1019,PICARD,794814.7175850902 7086116.9343613
1024,WTC,795612.7481558507 7085809.055158918
1030,GARE DU NORD,795851.9061329332 7085774.14615343
1042,ICHEC,799377.9104850631 7083320.755929666
1043,HOF TER MUSSCHEN,802150.6389452167 7085148.288744758
1046G,LEGRAND,796860.5278824369 7080832.919257915
1047F,LEGRAND,796865.3014847497 7080789.860542974
1048F,LEGRAND,796858.0177892478 7080745.700543018
1049F,LEGRAND,796809.0368491107 7080739.833294691
1051,WILLEBROEK,795515.4799333005 7086045.8519411795
1052,WTC,795626.1134524338 7085848.415678098
1056,PICARD,794746.536781608 7086159.922028778
1059,LEGRAND,796851.3211433251 7080870.995982993
1063,CESAR DE PAEPE,795325.4857625476 7083764.664769212
1064,GOFFIN,792412.9099041086 7086390.83802589
1065,LE ROUX,793211.4662051761 7087772.74509681
1066,EUGENE TOUSSAINT,793211.5527532458 7087999.288102412
1067,RENIERS,793226.4961860351 7088180.928155807
1072,FOREST (BERVOETS),793208.12270127 7080868.7552476395
1082,GARE DU NORD,795824.6489686134 7085783.599270853
1083,GARE DU NORD,795863.7559540684 7085725.185433129
1085,BERVOETS,793234.2246689777 7080895.7230422245
1089,PAVILLONS MEUDON,798545.037164488 7089511.073394857
1090,PAVILLONS MEUDON,798552.9661979384 7089505.30474514
1094,VALIDA,791942.8867893525 7086319.624023085
1094F,VALIDA,791942.9199089766 7086317.617855146
1095,PLACE DE L'EGLISE,791211.2958648057 7085741.592747671
1096,BENES,792568.3348805865 7086084.942409552
1097,BASTOGNE,792828.3059729622 7085772.766770055
1098,SIPPELBERG,793272.0551065508 7085843.614348098
1099,PARC MONNET,790857.6965553632 7086712.633448148
1102,SEPT ETOILES,790676.6389627792 7086117.145393009
1103,ANCIENNE BARRIERE,792810.3638305573 7088478.448088501
1105,COMHAIRE,791456.2621323356 7085604.583668562
1108,GOFFIN,792320.9843422119 7086378.053496219
1110,VAN HAELEN,793684.1836576911 7076750.89375686
1111,COLLEGE S.-COEUR,792747.7415448264 7086373.661287032
1112,SIMONIS,793874.0325016712 7085978.366922322
1113,ICHEC,799389.894283276 7083381.058408237
1114B,VANHUFFEL,793941.0632846063 7085697.88847355
1115,AUTRIQUE,793834.076467886 7085510.576341664
1116,HUNDERENVELD,790406.015022102 7086350.986304458
1117,DELACROIX,793363.2318530916 7084057.297764952
1118B,GENOT,791793.3098673383 7085900.764770031
1119,WINTEROY,792168.7924864426 7086119.007764465
1120,WINTEROY,792155.2076535431 7086121.347097297
1121,BLOKKEN,800660.5687343486 7092632.530854754
1124,TRONE,796320.785848758 7083642.541351595
1125,HOP. SAINT-PIERRE,795013.6897614375 7082847.206402496
1126,JEU DE BALLE,795211.826894541 7083154.3711259635
1127,CHAPELLE,795400.7936815508 7083583.570576411
1128,PETIT SABLON,795689.9400860432 7083438.252338586
1129,ROYALE,795861.3117147079 7083611.540921
1131B,LUXEMBOURG,796946.6157982978 7083442.918121774
1132,TREVES,796989.2659638957 7083584.015372561
1133,PARC LEOPOLD,797297.098523742 7083515.13545472
1134,NERVIENS,797861.781031352 7083407.857134338
1135,GAULOIS,798299.3098578316 7083278.993532096
1136,MERODE,798700.839440313 7083414.183666388
1138,ZEPHYR,800264.1629938784 7084287.023861507
1139,GEORGES HENRI,799273.3091987043 7083751.776592059
