id, location_val
113815478239311002_1,804451.4185297946 7090089.950306813
113815478239311002_2,800867.040892451 7087794.125266979
113815478239311002_3,799468.2598034173 7087545.425899559
113815478239311002_4,798985.0091755134 7086164.072061405
113815478239311002_5,798620.2890070933 7085057.354927759
113815478239311002_6,797655.447881443 7083834.779743997
113815478239311002_7,796926.1248857412 7083407.55655064
113815478239311002_8,796426.0653228849 7083522.178776287
113815478239311002_9,796318.9603474926 7083666.478290312
113815500239311002_1,804451.4185297946 7090089.950306813
113815500239311002_2,800867.040892451 7087794.125266979
113815500239311002_3,799468.2598034173 7087545.425899559
113815500239311002_4,798985.0091755134 7086164.072061405
113815500239311002_5,798620.2890070933 7085057.354927759
113815500239311002_6,797655.447881443 7083834.779743997
113815500239311002_7,796926.1248857412 7083407.55655064
113815500239311002_8,796426.0653228849 7083522.178776287
113815500239311002_9,796318.9603474926 7083666.478290312
113815594239311002_1,804451.4185297946 7090089.950306813
113815594239311002_2,800867.040892451 7087794.125266979
113815594239311002_3,799468.2598034173 7087545.425899559
113815594239311002_4,798985.0091755134 7086164.072061405
113815594239311002_5,798620.2890070933 7085057.354927759
113815594239311002_6,797655.447881443 7083834.779743997
113815594239311002_7,796926.1248857412 7083407.55655064
113815594239311002_8,796426.0653228849 7083522.178776287
113815594239311002_9,796318.9603474926 7083666.478290312
113815604239311002_1,804451.4185297946 7090089.950306813
113815604239311002_2,800867.040892451 7087794.125266979
113815604239311002_3,799468.2598034173 7087545.425899559
113815604239311002_4,798985.0091755134 7086164.072061405
113815604239311002_5,798620.2890070933 7085057.354927759
113815604239311002_6,797655.447881443 7083834.779743997
113815604239311002_7,796926.1248857412 7083407.55655064
113815604239311002_8,796426.0653228849 7083522.178776287
113815604239311002_9,796318.9603474926 7083666.478290312
113815733239311002_1,799468.2598034173 7087545.425899559
113815733239311002_2,798985.0091755134 7086164.072061405
113815733239311002_3,798620.2890070933 7085057.354927759
113815733239311002_4,797655.447881443 7083834.779743997
113815733239311002_5,796926.1248857412 7083407.55655064
113815733239311002_6,796426.0653228849 7083522.178776287
113815733239311002_7,796318.9603474926 7083666.478290312
113816181239315603_1,799468.2598034173 7087545.425899559
113816181239315603_2,798985.0091755134 7086164.072061405
113816181239315603_3,798620.2890070933 7085057.354927759
113816181239315603_4,797655.447881443 7083834.779743997
113816181239315603_5,796926.1248857412 7083407.55655064
113816181239315603_6,796426.0653228849 7083522.178776287
113816181239315603_7,796318.9603474926 7083666.478290312
113852617239465003_1,804451.4185297946 7090089.950306813
113852617239465003_2,800867.040892451 7087794.125266979
113852617239465003_3,799468.2598034173 7087545.425899559
113852617239465003_4,798985.0091755134 7086164.072061405
113852617239465003_5,798620.2890070933 7085057.354927759
113852617239465003_6,797679.1092872411 7083966.74349042
113852617239465003_7,797249.214383133 7083872.490336626
113852617239465003_8,796926.1248857412 7083407.55655064
113852617239465003_9,796426.0653228849 7083522.178776287
113852617239465003_10,796318.9603474926 7083666.478290312
113852639239465003_1,804451.4185297946 7090089.950306813
113852639239465003_2,800867.040892451 7087794.125266979
113852639239465003_3,799468.2598034173 7087545.425899559
113852639239465003_4,798985.0091755134 7086164.072061405
113852639239465003_5,798620.2890070933 7085057.354927759
113852639239465003_6,797679.1092872411 7083966.74349042
113852639239465003_7,797249.214383133 7083872.490336626
113852639239465003_8,796926.1248857412 7083407.55655064
113852639239465003_9,796426.0653228849 7083522.178776287
113852639239465003_10,796318.9603474926 7083666.478290312
113852733239465003_1,804451.4185297946 7090089.950306813
113852733239465003_2,800867.040892451 7087794.125266979
113852733239465003_3,799468.2598034173 7087545.425899559
113852733239465003_4,798985.0091755134 7086164.072061405
113852733239465003_5,798620.2890070933 7085057.354927759
113852733239465003_6,797679.1092872411 7083966.74349042
113852733239465003_7,797249.214383133 7083872.490336626
113852733239465003_8,796926.1248857412 7083407.55655064
113852733239465003_9,796426.0653228849 7083522.178776287
113852733239465003_10,796318.9603474926 7083666.478290312
113852743239465003_1,804451.4185297946 7090089.950306813
113852743239465003_2,800867.040892451 7087794.125266979
113852743239465003_3,799468.2598034173 7087545.425899559
113852743239465003_4,798985.0091755134 7086164.072061405
113852743239465003_5,798620.2890070933 7085057.354927759
113852743239465003_6,797679.1092872411 7083966.74349042
113852743239465003_7,797249.214383133 7083872.490336626
113852743239465003_8,796926.1248857412 7083407.55655064
113852743239465003_9,796426.0653228849 7083522.178776287
113852743239465003_10,796318.9603474926 7083666.478290312
113852872239465003_1,799468.2598034173 7087545.425899559
113852872239465003_2,798985.0091755134 7086164.072061405
113852872239465003_3,798620.2890070933 7085057.354927759
113852872239465003_4,797679.1092872411 7083966.74349042
113852872239465003_5,797249.214383133 7083872.490336626
113852872239465003_6,796926.1248857412 7083407.55655064
113852872239465003_7,796426.0653228849 7083522.178776287
113852872239465003_8,796318.9603474926 7083666.478290312
113815489239311002_1,796318.9603474926 7083666.478290312
113815489239311002_2,796482.6170944874 7083497.071101235
113815489239311002_3,796946.6157982978 7083442.918121774
113815489239311002_4,797666.040205532 7083870.751162182
113815489239311002_5,798626.8947607221 7085058.92117486
113815489239311002_6,798987.3289774705 7086204.248312558
113815489239311002_7,799769.0174143678 7087625.058195812
113815489239311002_8,800918.4423641206 7087834.077971844
113815489239311002_9,804451.4185297946 7090089.950306813
113815516239311002_1,796318.9603474926 7083666.478290312
113815516239311002_2,796482.6170944874 7083497.071101235
113815516239311002_3,796946.6157982978 7083442.918121774
113815516239311002_4,797666.040205532 7083870.751162182
113815516239311002_5,798626.8947607221 7085058.92117486
113815516239311002_6,798987.3289774705 7086204.248312558
113815516239311002_7,799769.0174143678 7087625.058195812
113815516239311002_8,800918.4423641206 7087834.077971844
113815516239311002_9,804451.4185297946 7090089.950306813
113815658239311002_1,796318.9603474926 7083666.478290312
113815658239311002_2,796482.6170944874 7083497.071101235
113815658239311002_3,796946.6157982978 7083442.918121774
113815658239311002_4,797666.040205532 7083870.751162182
113815658239311002_5,798626.8947607221 7085058.92117486
113815658239311002_6,798987.3289774705 7086204.248312558
113815658239311002_7,799769.0174143678 7087625.058195812
113815658239311002_8,800918.4423641206 7087834.077971844
113815658239311002_9,804451.4185297946 7090089.950306813
113815742239311002_1,799769.0174143678 7087625.058195812
113815742239311002_2,800918.4423641206 7087834.077971844
113815742239311002_3,804451.4185297946 7090089.950306813
