id, dayTypeRef, ServiceJourneyPatternRef, operatorRef
113815478239311002,237098001,113815478239311002,STIB-MIVB
113815577239311002,237098001,113815478239311002,STIB-MIVB
113815578239311002,237098001,113815478239311002,STIB-MIVB
113815579239311002,237098001,113815478239311002,STIB-MIVB
113815585239311002,237098001,113815478239311002,STIB-MIVB
113815587239311002,237098001,113815478239311002,STIB-MIVB
113815591239311002,237098001,113815478239311002,STIB-MIVB
113815592239311002,237098001,113815478239311002,STIB-MIVB
113815593239311002,237098001,113815478239311002,STIB-MIVB
113815595239311002,237098001,113815478239311002,STIB-MIVB
113815596239311002,237098001,113815478239311002,STIB-MIVB
113815597239311002,237098001,113815478239311002,STIB-MIVB
113815599239311002,237098001,113815478239311002,STIB-MIVB
113815602239311002,237098001,113815478239311002,STIB-MIVB
113815603239311002,237098001,113815478239311002,STIB-MIVB
113815626239311002,237098001,113815478239311002,STIB-MIVB
113815627239311002,237098001,113815478239311002,STIB-MIVB
113815629239311002,237098001,113815478239311002,STIB-MIVB
113815632239311002,237098001,113815478239311002,STIB-MIVB
113815633239311002,237098001,113815478239311002,STIB-MIVB
113815634239311002,237098001,113815478239311002,STIB-MIVB
113815636239311002,237098001,113815478239311002,STIB-MIVB
113815637239311002,237098001,113815478239311002,STIB-MIVB
113815639239311002,237098001,113815478239311002,STIB-MIVB
113815640239311002,237098001,113815478239311002,STIB-MIVB
113815641239311002,237098001,113815478239311002,STIB-MIVB
113815643239311002,237098001,113815478239311002,STIB-MIVB
113815646239311002,237098001,113815478239311002,STIB-MIVB
113815655239311002,237098001,113815478239311002,STIB-MIVB
113815881239313503,236330500,113815478239311002,STIB-MIVB
113815883239313503,236330500,113815478239311002,STIB-MIVB
113815884239313503,236330500,113815478239311002,STIB-MIVB
113815885239313503,236330500,113815478239311002,STIB-MIVB
113815894239313503,236330500,113815478239311002,STIB-MIVB
113815904239313503,236330500,113815478239311002,STIB-MIVB
113815905239313503,236330500,113815478239311002,STIB-MIVB
113815906239313503,236330500,113815478239311002,STIB-MIVB
113815907239313503,236330500,113815478239311002,STIB-MIVB
113815908239313503,236330500,113815478239311002,STIB-MIVB
113815915239313503,236330500,113815478239311002,STIB-MIVB
113815922239313503,236330500,113815478239311002,STIB-MIVB
113815924239313503,236330500,113815478239311002,STIB-MIVB
113815925239313503,236330500,113815478239311002,STIB-MIVB
113815928239313503,236330500,113815478239311002,STIB-MIVB
113816037239315603,236298600,113815478239311002,STIB-MIVB
113816041239315603,236298600,113815478239311002,STIB-MIVB
113816042239315603,236298600,113815478239311002,STIB-MIVB
113816043239315603,236298600,113815478239311002,STIB-MIVB
113816048239315603,236298600,113815478239311002,STIB-MIVB
113816053239315603,236298600,113815478239311002,STIB-MIVB
113816060239315603,236298600,113815478239311002,STIB-MIVB
113816068239315603,236298600,113815478239311002,STIB-MIVB
113816069239315603,236298600,113815478239311002,STIB-MIVB
113816070239315603,236298600,113815478239311002,STIB-MIVB
113816071239315603,236298600,113815478239311002,STIB-MIVB
113816077239315603,236298600,113815478239311002,STIB-MIVB
113816079239315603,236298600,113815478239311002,STIB-MIVB
113816093239315603,236298600,113815478239311002,STIB-MIVB
113816094239315603,236298600,113815478239311002,STIB-MIVB
113816095239315603,236298600,113815478239311002,STIB-MIVB
113816096239315603,236298600,113815478239311002,STIB-MIVB
113815500239311002,237098001,113815500239311002,STIB-MIVB
113815580239311002,237098001,113815500239311002,STIB-MIVB
113815581239311002,237098001,113815500239311002,STIB-MIVB
113815582239311002,237098001,113815500239311002,STIB-MIVB
113815583239311002,237098001,113815500239311002,STIB-MIVB
113815584239311002,237098001,113815500239311002,STIB-MIVB
113815586239311002,237098001,113815500239311002,STIB-MIVB
113815588239311002,237098001,113815500239311002,STIB-MIVB
113815589239311002,237098001,113815500239311002,STIB-MIVB
113815590239311002,237098001,113815500239311002,STIB-MIVB
113815598239311002,237098001,113815500239311002,STIB-MIVB
113815600239311002,237098001,113815500239311002,STIB-MIVB
113815601239311002,237098001,113815500239311002,STIB-MIVB
113815605239311002,237098001,113815500239311002,STIB-MIVB
113815606239311002,237098001,113815500239311002,STIB-MIVB
113815607239311002,237098001,113815500239311002,STIB-MIVB
113815609239311002,237098001,113815500239311002,STIB-MIVB
113815610239311002,237098001,113815500239311002,STIB-MIVB
113815611239311002,237098001,113815500239311002,STIB-MIVB
113815612239311002,237098001,113815500239311002,STIB-MIVB
113815613239311002,237098001,113815500239311002,STIB-MIVB
113815614239311002,237098001,113815500239311002,STIB-MIVB
113815615239311002,237098001,113815500239311002,STIB-MIVB
113815622239311002,237098001,113815500239311002,STIB-MIVB
113815638239311002,237098001,113815500239311002,STIB-MIVB
113815642239311002,237098001,113815500239311002,STIB-MIVB
113815644239311002,237098001,113815500239311002,STIB-MIVB
113815645239311002,237098001,113815500239311002,STIB-MIVB
113815647239311002,237098001,113815500239311002,STIB-MIVB
113815648239311002,237098001,113815500239311002,STIB-MIVB
113815649239311002,237098001,113815500239311002,STIB-MIVB
113815650239311002,237098001,113815500239311002,STIB-MIVB
113815651239311002,237098001,113815500239311002,STIB-MIVB
113815652239311002,237098001,113815500239311002,STIB-MIVB
113815653239311002,237098001,113815500239311002,STIB-MIVB
113815879239313503,236330500,113815500239311002,STIB-MIVB
113815886239313503,236330500,113815500239311002,STIB-MIVB
113815887239313503,236330500,113815500239311002,STIB-MIVB
113815888239313503,236330500,113815500239311002,STIB-MIVB
113815889239313503,236330500,113815500239311002,STIB-MIVB
113815890239313503,236330500,113815500239311002,STIB-MIVB
113815891239313503,236330500,113815500239311002,STIB-MIVB
113815892239313503,236330500,113815500239311002,STIB-MIVB
113815893239313503,236330500,113815500239311002,STIB-MIVB
113815895239313503,236330500,113815500239311002,STIB-MIVB
113815896239313503,236330500,113815500239311002,STIB-MIVB
113815897239313503,236330500,113815500239311002,STIB-MIVB
113815898239313503,236330500,113815500239311002,STIB-MIVB
113815909239313503,236330500,113815500239311002,STIB-MIVB
113815910239313503,236330500,113815500239311002,STIB-MIVB
113815911239313503,236330500,113815500239311002,STIB-MIVB
113815912239313503,236330500,113815500239311002,STIB-MIVB
113815913239313503,236330500,113815500239311002,STIB-MIVB
