id, order, scheduledStopPointRef, stopPlaceRef, QuayRef
113815478239311002_1,2,113815478239311002_1,Navitia_9600B_bus,9600B
113815478239311002_2,3,113815478239311002_2,Navitia_3017_bus,3017
113815478239311002_3,4,113815478239311002_3,Navitia_5048_bus,5048
113815478239311002_4,5,113815478239311002_4,Navitia_2695_bus,2695
113815478239311002_5,6,113815478239311002_5,Navitia_2250_bus,2250
113815478239311002_6,7,113815478239311002_6,Navitia_1270B_bus,1270B
113815478239311002_7,8,113815478239311002_7,Navitia_1162C_bus,1162C
113815478239311002_8,9,113815478239311002_8,Navitia_6432_bus,6432
113815478239311002_9,10,113815478239311002_9,Navitia_1780_bus,1780
113815500239311002_1,2,113815500239311002_1,Navitia_9600B_bus,9600B
113815500239311002_2,3,113815500239311002_2,Navitia_3017_bus,3017
113815500239311002_3,4,113815500239311002_3,Navitia_5048_bus,5048
113815500239311002_4,5,113815500239311002_4,Navitia_2695_bus,2695
113815500239311002_5,6,113815500239311002_5,Navitia_2250_bus,2250
113815500239311002_6,7,113815500239311002_6,Navitia_1270B_bus,1270B
113815500239311002_7,8,113815500239311002_7,Navitia_1162C_bus,1162C
113815500239311002_8,9,113815500239311002_8,Navitia_6432_bus,6432
113815500239311002_9,10,113815500239311002_9,Navitia_1780_bus,1780
113815594239311002_1,2,113815594239311002_1,Navitia_9600B_bus,9600B
113815594239311002_2,3,113815594239311002_2,Navitia_3017_bus,3017
113815594239311002_3,4,113815594239311002_3,Navitia_5048_bus,5048
113815594239311002_4,5,113815594239311002_4,Navitia_2695_bus,2695
113815594239311002_5,6,113815594239311002_5,Navitia_2250_bus,2250
113815594239311002_6,7,113815594239311002_6,Navitia_1270B_bus,1270B
113815594239311002_7,8,113815594239311002_7,Navitia_1162C_bus,1162C
113815594239311002_8,9,113815594239311002_8,Navitia_6432_bus,6432
113815594239311002_9,10,113815594239311002_9,Navitia_1780_bus,1780
113815604239311002_1,2,113815604239311002_1,Navitia_9600B_bus,9600B
113815604239311002_2,3,113815604239311002_2,Navitia_3017_bus,3017
113815604239311002_3,4,113815604239311002_3,Navitia_5048_bus,5048
113815604239311002_4,5,113815604239311002_4,Navitia_2695_bus,2695
113815604239311002_5,6,113815604239311002_5,Navitia_2250_bus,2250
113815604239311002_6,7,113815604239311002_6,Navitia_1270B_bus,1270B
113815604239311002_7,8,113815604239311002_7,Navitia_1162C_bus,1162C
113815604239311002_8,9,113815604239311002_8,Navitia_6432_bus,6432
113815604239311002_9,10,113815604239311002_9,Navitia_1780_bus,1780
113815733239311002_1,2,113815733239311002_1,Navitia_5048_bus,5048
113815733239311002_2,3,113815733239311002_2,Navitia_2695_bus,2695
113815733239311002_3,4,113815733239311002_3,Navitia_2250_bus,2250
113815733239311002_4,5,113815733239311002_4,Navitia_1270B_bus,1270B
113815733239311002_5,6,113815733239311002_5,Navitia_1162C_bus,1162C
113815733239311002_6,7,113815733239311002_6,Navitia_6432_bus,6432
113815733239311002_7,8,113815733239311002_7,Navitia_1780_bus,1780
113816181239315603_1,2,113816181239315603_1,Navitia_5048_bus,5048
113816181239315603_2,3,113816181239315603_2,Navitia_2695_bus,2695
113816181239315603_3,4,113816181239315603_3,Navitia_2250_bus,2250
113816181239315603_4,5,113816181239315603_4,Navitia_1270B_bus,1270B
113816181239315603_5,6,113816181239315603_5,Navitia_1162C_bus,1162C
113816181239315603_6,7,113816181239315603_6,Navitia_6432_bus,6432
113816181239315603_7,8,113816181239315603_7,Navitia_1780_bus,1780
113852617239465003_1,2,113852617239465003_1,Navitia_9600B_bus,9600B
113852617239465003_2,3,113852617239465003_2,Navitia_3017_bus,3017
113852617239465003_3,4,113852617239465003_3,Navitia_5048_bus,5048
113852617239465003_4,5,113852617239465003_4,Navitia_2695_bus,2695
113852617239465003_5,6,113852617239465003_5,Navitia_2250_bus,2250
113852617239465003_6,7,113852617239465003_6,Navitia_1317_bus,1317
113852617239465003_7,8,113852617239465003_7,Navitia_6465_bus,6465
113852617239465003_8,9,113852617239465003_8,Navitia_1162C_bus,1162C
113852617239465003_9,10,113852617239465003_9,Navitia_6432_bus,6432
113852617239465003_10,11,113852617239465003_10,Navitia_1780_bus,1780
113852639239465003_1,2,113852639239465003_1,Navitia_9600B_bus,9600B
113852639239465003_2,3,113852639239465003_2,Navitia_3017_bus,3017
113852639239465003_3,4,113852639239465003_3,Navitia_5048_bus,5048
113852639239465003_4,5,113852639239465003_4,Navitia_2695_bus,2695
113852639239465003_5,6,113852639239465003_5,Navitia_2250_bus,2250
113852639239465003_6,7,113852639239465003_6,Navitia_1317_bus,1317
113852639239465003_7,8,113852639239465003_7,Navitia_6465_bus,6465
113852639239465003_8,9,113852639239465003_8,Navitia_1162C_bus,1162C
113852639239465003_9,10,113852639239465003_9,Navitia_6432_bus,6432
113852639239465003_10,11,113852639239465003_10,Navitia_1780_bus,1780
113852733239465003_1,2,113852733239465003_1,Navitia_9600B_bus,9600B
113852733239465003_2,3,113852733239465003_2,Navitia_3017_bus,3017
