id, name, centroid_val, quayID
Navitia_1008_bus,RENIERS,<gml:Point srsName="EPSG:2154"><gml:pos>793219.7309820823 7088163.757298923</gml:pos></gml:Point>,1008
Navitia_1008,RENIERS,<gml:Point srsName="EPSG:2154"><gml:pos>793219.7309820823 7088163.757298923</gml:pos></gml:Point>,
Navitia_1009_bus,EUGENE TOUSSAINT,<gml:Point srsName="EPSG:2154"><gml:pos>793207.872902863 7087983.17234693</gml:pos></gml:Point>,1009
Navitia_1009,EUGENE TOUSSAINT,<gml:Point srsName="EPSG:2154"><gml:pos>793207.872902863 7087983.17234693</gml:pos></gml:Point>,
Navitia_1010_bus,LE ROUX,<gml:Point srsName="EPSG:2154"><gml:pos>793186.1905921504 7087673.098830071</gml:pos></gml:Point>,1010
Navitia_1010,LE ROUX,<gml:Point srsName="EPSG:2154"><gml:pos>793186.1905921504 7087673.098830071</gml:pos></gml:Point>,
Navitia_1014F_tram,MIROIR,<gml:Point srsName="EPSG:2154"><gml:pos>793423.4482400334 7086850.070941126</gml:pos></gml:Point>,1014F
Navitia_1014F,MIROIR,<gml:Point srsName="EPSG:2154"><gml:pos>793423.4482400334 7086850.070941126</gml:pos></gml:Point>,
Navitia_1015_bus,BERVOETS,<gml:Point srsName="EPSG:2154"><gml:pos>793192.6791333148 7080804.063909596</gml:pos></gml:Point>,1015
Navitia_1015,BERVOETS,<gml:Point srsName="EPSG:2154"><gml:pos>793192.6791333148 7080804.063909596</gml:pos></gml:Point>,
Navitia_1016_bus,WILLEBROEK,<gml:Point srsName="EPSG:2154"><gml:pos>795498.4278195949 7086044.556167984</gml:pos></gml:Point>,1016
Navitia_1016,WILLEBROEK,<gml:Point srsName="EPSG:2154"><gml:pos>795498.4278195949 7086044.556167984</gml:pos></gml:Point>,
Navitia_1018_bus,BON AIR,<gml:Point srsName="EPSG:2154"><gml:pos>789948.806050028 7082905.623246316</gml:pos></gml:Point>,1018
Navitia_1018,BON AIR,<gml:Point srsName="EPSG:2154"><gml:pos>789948.806050028 7082905.623246316</gml:pos></gml:Point>,
Navitia_1019_bus,PICARD,<gml:Point srsName="EPSG:2154"><gml:pos>794814.7175850902 7086116.9343613</gml:pos></gml:Point>,1019
Navitia_1019,PICARD,<gml:Point srsName="EPSG:2154"><gml:pos>794814.7175850902 7086116.9343613</gml:pos></gml:Point>,
Navitia_1024_bus,WTC,<gml:Point srsName="EPSG:2154"><gml:pos>795612.7481558507 7085809.055158918</gml:pos></gml:Point>,1024
Navitia_1024,WTC,<gml:Point srsName="EPSG:2154"><gml:pos>795612.7481558507 7085809.055158918</gml:pos></gml:Point>,
Navitia_1030_bus,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795851.9061329332 7085774.14615343</gml:pos></gml:Point>,1030
Navitia_1030,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795851.9061329332 7085774.14615343</gml:pos></gml:Point>,
Navitia_1042_tram,ICHEC,<gml:Point srsName="EPSG:2154"><gml:pos>799377.9104850631 7083320.755929666</gml:pos></gml:Point>,1042
Navitia_1042,ICHEC,<gml:Point srsName="EPSG:2154"><gml:pos>799377.9104850631 7083320.755929666</gml:pos></gml:Point>,
Navitia_1043_bus,HOF TER MUSSCHEN,<gml:Point srsName="EPSG:2154"><gml:pos>802150.6389452167 7085148.288744758</gml:pos></gml:Point>,1043
Navitia_1043,HOF TER MUSSCHEN,<gml:Point srsName="EPSG:2154"><gml:pos>802150.6389452167 7085148.288744758</gml:pos></gml:Point>,
Navitia_1046G_tram,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796860.5278824369 7080832.919257915</gml:pos></gml:Point>,1046G
Navitia_1046G,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796860.5278824369 7080832.919257915</gml:pos></gml:Point>,
Navitia_1047F_tram,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796865.3014847497 7080789.860542974</gml:pos></gml:Point>,1047F
Navitia_1047F,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796865.3014847497 7080789.860542974</gml:pos></gml:Point>,
Navitia_1048F_tram,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796858.0177892478 7080745.700543018</gml:pos></gml:Point>,1048F
Navitia_1048F,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796858.0177892478 7080745.700543018</gml:pos></gml:Point>,
Navitia_1049F_tram,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796809.0368491107 7080739.833294691</gml:pos></gml:Point>,1049F
Navitia_1049F,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796809.0368491107 7080739.833294691</gml:pos></gml:Point>,
Navitia_1051_bus,WILLEBROEK,<gml:Point srsName="EPSG:2154"><gml:pos>795515.4799333005 7086045.8519411795</gml:pos></gml:Point>,1051
Navitia_1051,WILLEBROEK,<gml:Point srsName="EPSG:2154"><gml:pos>795515.4799333005 7086045.8519411795</gml:pos></gml:Point>,
Navitia_1052_bus,WTC,<gml:Point srsName="EPSG:2154"><gml:pos>795626.1134524338 7085848.415678098</gml:pos></gml:Point>,1052
Navitia_1052,WTC,<gml:Point srsName="EPSG:2154"><gml:pos>795626.1134524338 7085848.415678098</gml:pos></gml:Point>,
Navitia_1056_bus,PICARD,<gml:Point srsName="EPSG:2154"><gml:pos>794746.536781608 7086159.922028778</gml:pos></gml:Point>,1056
Navitia_1056,PICARD,<gml:Point srsName="EPSG:2154"><gml:pos>794746.536781608 7086159.922028778</gml:pos></gml:Point>,
Navitia_1059_tram,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796851.3211433251 7080870.995982993</gml:pos></gml:Point>,1059
Navitia_1059,LEGRAND,<gml:Point srsName="EPSG:2154"><gml:pos>796851.3211433251 7080870.995982993</gml:pos></gml:Point>,
Navitia_1063_bus,CESAR DE PAEPE,<gml:Point srsName="EPSG:2154"><gml:pos>795325.4857625476 7083764.664769212</gml:pos></gml:Point>,1063
Navitia_1063,CESAR DE PAEPE,<gml:Point srsName="EPSG:2154"><gml:pos>795325.4857625476 7083764.664769212</gml:pos></gml:Point>,
Navitia_1064_tram,GOFFIN,<gml:Point srsName="EPSG:2154"><gml:pos>792412.9099041086 7086390.83802589</gml:pos></gml:Point>,1064
Navitia_1064,GOFFIN,<gml:Point srsName="EPSG:2154"><gml:pos>792412.9099041086 7086390.83802589</gml:pos></gml:Point>,
Navitia_1065_bus,LE ROUX,<gml:Point srsName="EPSG:2154"><gml:pos>793211.4662051761 7087772.74509681</gml:pos></gml:Point>,1065
Navitia_1065,LE ROUX,<gml:Point srsName="EPSG:2154"><gml:pos>793211.4662051761 7087772.74509681</gml:pos></gml:Point>,
Navitia_1066_bus,EUGENE TOUSSAINT,<gml:Point srsName="EPSG:2154"><gml:pos>793211.5527532458 7087999.288102412</gml:pos></gml:Point>,1066
Navitia_1066,EUGENE TOUSSAINT,<gml:Point srsName="EPSG:2154"><gml:pos>793211.5527532458 7087999.288102412</gml:pos></gml:Point>,
Navitia_1067_bus,RENIERS,<gml:Point srsName="EPSG:2154"><gml:pos>793226.4961860351 7088180.928155807</gml:pos></gml:Point>,1067
Navitia_1067,RENIERS,<gml:Point srsName="EPSG:2154"><gml:pos>793226.4961860351 7088180.928155807</gml:pos></gml:Point>,
Navitia_1072_bus,FOREST (BERVOETS),<gml:Point srsName="EPSG:2154"><gml:pos>793208.12270127 7080868.7552476395</gml:pos></gml:Point>,1072
Navitia_1072,FOREST (BERVOETS),<gml:Point srsName="EPSG:2154"><gml:pos>793208.12270127 7080868.7552476395</gml:pos></gml:Point>,
Navitia_1082_bus,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795824.6489686134 7085783.599270853</gml:pos></gml:Point>,1082
Navitia_1082,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795824.6489686134 7085783.599270853</gml:pos></gml:Point>,
Navitia_1083_bus,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795863.7559540684 7085725.185433129</gml:pos></gml:Point>,1083
Navitia_1083,GARE DU NORD,<gml:Point srsName="EPSG:2154"><gml:pos>795863.7559540684 7085725.185433129</gml:pos></gml:Point>,
Navitia_1085_bus,BERVOETS,<gml:Point srsName="EPSG:2154"><gml:pos>793234.2246689777 7080895.7230422245</gml:pos></gml:Point>,1085
Navitia_1085,BERVOETS,<gml:Point srsName="EPSG:2154"><gml:pos>793234.2246689777 7080895.7230422245</gml:pos></gml:Point>,
Navitia_1089_bus,PAVILLONS MEUDON,<gml:Point srsName="EPSG:2154"><gml:pos>798545.037164488 7089511.073394857</gml:pos></gml:Point>,1089
Navitia_1089,PAVILLONS MEUDON,<gml:Point srsName="EPSG:2154"><gml:pos>798545.037164488 7089511.073394857</gml:pos></gml:Point>,
Navitia_1090_bus,PAVILLONS MEUDON,<gml:Point srsName="EPSG:2154"><gml:pos>798552.9661979384 7089505.30474514</gml:pos></gml:Point>,1090
Navitia_1090,PAVILLONS MEUDON,<gml:Point srsName="EPSG:2154"><gml:pos>798552.9661979384 7089505.30474514</gml:pos></gml:Point>,
Navitia_1094_bus,VALIDA,<gml:Point srsName="EPSG:2154"><gml:pos>791942.8867893525 7086319.624023085</gml:pos></gml:Point>,1094
Navitia_1094,VALIDA,<gml:Point srsName="EPSG:2154"><gml:pos>791942.8867893525 7086319.624023085</gml:pos></gml:Point>,
Navitia_1094F_tram,VALIDA,<gml:Point srsName="EPSG:2154"><gml:pos>791942.9199089766 7086317.617855146</gml:pos></gml:Point>,1094F
Navitia_1094F,VALIDA,<gml:Point srsName="EPSG:2154"><gml:pos>791942.9199089766 7086317.617855146</gml:pos></gml:Point>,
Navitia_1095_bus,PLACE DE L'EGLISE,<gml:Point srsName="EPSG:2154"><gml:pos>791211.2958648057 7085741.592747671</gml:pos></gml:Point>,1095
Navitia_1095,PLACE DE L'EGLISE,<gml:Point srsName="EPSG:2154"><gml:pos>791211.2958648057 7085741.592747671</gml:pos></gml:Point>,
Navitia_1096_bus,BENES,<gml:Point srsName="EPSG:2154"><gml:pos>792568.3348805865 7086084.942409552</gml:pos></gml:Point>,1096
Navitia_1096,BENES,<gml:Point srsName="EPSG:2154"><gml:pos>792568.3348805865 7086084.942409552</gml:pos></gml:Point>,
Navitia_1097_bus,BASTOGNE,<gml:Point srsName="EPSG:2154"><gml:pos>792828.3059729622 7085772.766770055</gml:pos></gml:Point>,1097
Navitia_1097,BASTOGNE,<gml:Point srsName="EPSG:2154"><gml:pos>792828.3059729622 7085772.766770055</gml:pos></gml:Point>,
Navitia_1098_bus,SIPPELBERG,<gml:Point srsName="EPSG:2154"><gml:pos>793272.0551065508 7085843.614348098</gml:pos></gml:Point>,1098
Navitia_1098,SIPPELBERG,<gml:Point srsName="EPSG:2154"><gml:pos>793272.0551065508 7085843.614348098</gml:pos></gml:Point>,
Navitia_1099_bus,PARC MONNET,<gml:Point srsName="EPSG:2154"><gml:pos>790857.6965553632 7086712.633448148</gml:pos></gml:Point>,1099
Navitia_1099,PARC MONNET,<gml:Point srsName="EPSG:2154"><gml:pos>790857.6965553632 7086712.633448148</gml:pos></gml:Point>,
Navitia_1102_bus,SEPT ETOILES,<gml:Point srsName="EPSG:2154"><gml:pos>790676.6389627792 7086117.145393009</gml:pos></gml:Point>,1102
Navitia_1102,SEPT ETOILES,<gml:Point srsName="EPSG:2154"><gml:pos>790676.6389627792 7086117.145393009</gml:pos></gml:Point>,
Navitia_1103_bus,ANCIENNE BARRIERE,<gml:Point srsName="EPSG:2154"><gml:pos>792810.3638305573 7088478.448088501</gml:pos></gml:Point>,1103
Navitia_1103,ANCIENNE BARRIERE,<gml:Point srsName="EPSG:2154"><gml:pos>792810.3638305573 7088478.448088501</gml:pos></gml:Point>,
Navitia_1105_bus,COMHAIRE,<gml:Point srsName="EPSG:2154"><gml:pos>791456.2621323356 7085604.583668562</gml:pos></gml:Point>,1105
Navitia_1105,COMHAIRE,<gml:Point srsName="EPSG:2154"><gml:pos>791456.2621323356 7085604.583668562</gml:pos></gml:Point>,
Navitia_1108_bus,GOFFIN,<gml:Point srsName="EPSG:2154"><gml:pos>792320.9843422119 7086378.053496219</gml:pos></gml:Point>,1108
Navitia_1108,GOFFIN,<gml:Point srsName="EPSG:2154"><gml:pos>792320.9843422119 7086378.053496219</gml:pos></gml:Point>,
Navitia_1110_tram,VAN HAELEN,<gml:Point srsName="EPSG:2154"><gml:pos>793684.1836576911 7076750.89375686</gml:pos></gml:Point>,1110
Navitia_1110,VAN HAELEN,<gml:Point srsName="EPSG:2154"><gml:pos>793684.1836576911 7076750.89375686</gml:pos></gml:Point>,
Navitia_1111_tram,COLLEGE S.-COEUR,<gml:Point srsName="EPSG:2154"><gml:pos>792747.7415448264 7086373.661287032</gml:pos></gml:Point>,1111
Navitia_1111,COLLEGE S.-COEUR,<gml:Point srsName="EPSG:2154"><gml:pos>792747.7415448264 7086373.661287032</gml:pos></gml:Point>,
Navitia_1112_bus,SIMONIS,<gml:Point srsName="EPSG:2154"><gml:pos>793874.0325016712 7085978.366922322</gml:pos></gml:Point>,1112
Navitia_1112,SIMONIS,<gml:Point srsName="EPSG:2154"><gml:pos>793874.0325016712 7085978.366922322</gml:pos></gml:Point>,
Navitia_1113_bus,ICHEC,<gml:Point srsName="EPSG:2154"><gml:pos>799389.894283276 7083381.058408237</gml:pos></gml:Point>,1113
Navitia_1113,ICHEC,<gml:Point srsName="EPSG:2154"><gml:pos>799389.894283276 7083381.058408237</gml:pos></gml:Point>,
Navitia_1114B_bus,VANHUFFEL,<gml:Point srsName="EPSG:2154"><gml:pos>793941.0632846063 7085697.88847355</gml:pos></gml:Point>,1114B
Navitia_1114B,VANHUFFEL,<gml:Point srsName="EPSG:2154"><gml:pos>793941.0632846063 7085697.88847355</gml:pos></gml:Point>,
Navitia_1115_bus,AUTRIQUE,<gml:Point srsName="EPSG:2154"><gml:pos>793834.076467886 7085510.576341664</gml:pos></gml:Point>,1115
Navitia_1115,AUTRIQUE,<gml:Point srsName="EPSG:2154"><gml:pos>793834.076467886 7085510.576341664</gml:pos></gml:Point>,
Navitia_1116_bus,HUNDERENVELD,<gml:Point srsName="EPSG:2154"><gml:pos>790406.015022102 7086350.986304458</gml:pos></gml:Point>,1116
Navitia_1116,HUNDERENVELD,<gml:Point srsName="EPSG:2154"><gml:pos>790406.015022102 7086350.986304458</gml:pos></gml:Point>,
Navitia_1117_bus,DELACROIX,<gml:Point srsName="EPSG:2154"><gml:pos>793363.2318530916 7084057.297764952</gml:pos></gml:Point>,1117
Navitia_1117,DELACROIX,<gml:Point srsName="EPSG:2154"><gml:pos>793363.2318530916 7084057.297764952</gml:pos></gml:Point>,
Navitia_1118B_bus,GENOT,<gml:Point srsName="EPSG:2154"><gml:pos>791793.3098673383 7085900.764770031</gml:pos></gml:Point>,1118B
Navitia_1118B,GENOT,<gml:Point srsName="EPSG:2154"><gml:pos>791793.3098673383 7085900.764770031</gml:pos></gml:Point>,
Navitia_1119_bus,WINTEROY,<gml:Point srsName="EPSG:2154"><gml:pos>792168.7924864426 7086119.007764465</gml:pos></gml:Point>,1119
Navitia_1119,WINTEROY,<gml:Point srsName="EPSG:2154"><gml:pos>792168.7924864426 7086119.007764465</gml:pos></gml:Point>,
Navitia_1120_bus,WINTEROY,<gml:Point srsName="EPSG:2154"><gml:pos>792155.2076535431 7086121.347097297</gml:pos></gml:Point>,1120
Navitia_1120,WINTEROY,<gml:Point srsName="EPSG:2154"><gml:pos>792155.2076535431 7086121.347097297</gml:pos></gml:Point>,
Navitia_1121_bus,BLOKKEN,<gml:Point srsName="EPSG:2154"><gml:pos>800660.5687343486 7092632.530854754</gml:pos></gml:Point>,1121
Navitia_1121,BLOKKEN,<gml:Point srsName="EPSG:2154"><gml:pos>800660.5687343486 7092632.530854754</gml:pos></gml:Point>,
Navitia_1124_bus,TRONE,<gml:Point srsName="EPSG:2154"><gml:pos>796320.785848758 7083642.541351595</gml:pos></gml:Point>,1124
Navitia_1124,TRONE,<gml:Point srsName="EPSG:2154"><gml:pos>796320.785848758 7083642.541351595</gml:pos></gml:Point>,
