id, order, scheduledStopPointRef, forAlighting, forBoarding, journeyPatternRef
113815478239311002_1,2,113815478239311002_1,1,1,113815478239311002
113815478239311002_2,3,113815478239311002_2,1,1,113815478239311002
113815478239311002_3,4,113815478239311002_3,1,1,113815478239311002
113815478239311002_4,5,113815478239311002_4,1,1,113815478239311002
113815478239311002_5,6,113815478239311002_5,1,1,113815478239311002
113815478239311002_6,7,113815478239311002_6,1,1,113815478239311002
113815478239311002_7,8,113815478239311002_7,1,1,113815478239311002
113815478239311002_8,9,113815478239311002_8,1,1,113815478239311002
113815478239311002_9,10,113815478239311002_9,1,2,113815478239311002
113815500239311002_1,2,113815500239311002_1,1,1,113815500239311002
113815500239311002_2,3,113815500239311002_2,1,1,113815500239311002
113815500239311002_3,4,113815500239311002_3,1,1,113815500239311002
113815500239311002_4,5,113815500239311002_4,1,1,113815500239311002
113815500239311002_5,6,113815500239311002_5,1,1,113815500239311002
113815500239311002_6,7,113815500239311002_6,1,1,113815500239311002
113815500239311002_7,8,113815500239311002_7,1,1,113815500239311002
113815500239311002_8,9,113815500239311002_8,1,1,113815500239311002
113815500239311002_9,10,113815500239311002_9,1,1,113815500239311002
113815594239311002_1,2,113815594239311002_1,2,1,113815594239311002
113815594239311002_2,3,113815594239311002_2,1,1,113815594239311002
113815594239311002_3,4,113815594239311002_3,1,1,113815594239311002
113815594239311002_4,5,113815594239311002_4,1,1,113815594239311002
113815594239311002_5,6,113815594239311002_5,1,1,113815594239311002
113815594239311002_6,7,113815594239311002_6,1,1,113815594239311002
113815594239311002_7,8,113815594239311002_7,1,1,113815594239311002
113815594239311002_8,9,113815594239311002_8,1,1,113815594239311002
113815594239311002_9,10,113815594239311002_9,1,1,113815594239311002
113815604239311002_1,2,113815604239311002_1,2,1,113815604239311002
113815604239311002_2,3,113815604239311002_2,1,1,113815604239311002
113815604239311002_3,4,113815604239311002_3,1,1,113815604239311002
113815604239311002_4,5,113815604239311002_4,1,1,113815604239311002
113815604239311002_5,6,113815604239311002_5,1,1,113815604239311002
113815604239311002_6,7,113815604239311002_6,1,1,113815604239311002
113815604239311002_7,8,113815604239311002_7,1,1,113815604239311002
113815604239311002_8,9,113815604239311002_8,1,1,113815604239311002
113815604239311002_9,10,113815604239311002_9,1,2,113815604239311002
113815733239311002_1,2,113815733239311002_1,2,1,113815733239311002
113815733239311002_2,3,113815733239311002_2,1,1,113815733239311002
113815733239311002_3,4,113815733239311002_3,1,1,113815733239311002
113815733239311002_4,5,113815733239311002_4,1,1,113815733239311002
113815733239311002_5,6,113815733239311002_5,1,1,113815733239311002
113815733239311002_6,7,113815733239311002_6,1,1,113815733239311002
113815733239311002_7,8,113815733239311002_7,1,1,113815733239311002
113816181239315603_1,2,113816181239315603_1,2,1,113816181239315603
113816181239315603_2,3,113816181239315603_2,1,1,113816181239315603
113816181239315603_3,4,113816181239315603_3,1,1,113816181239315603
113816181239315603_4,5,113816181239315603_4,1,1,113816181239315603
113816181239315603_5,6,113816181239315603_5,1,1,113816181239315603
113816181239315603_6,7,113816181239315603_6,1,1,113816181239315603
113816181239315603_7,8,113816181239315603_7,1,2,113816181239315603
113852617239465003_1,2,113852617239465003_1,1,1,113852617239465003
113852617239465003_2,3,113852617239465003_2,1,1,113852617239465003
113852617239465003_3,4,113852617239465003_3,1,1,113852617239465003
113852617239465003_4,5,113852617239465003_4,1,1,113852617239465003
113852617239465003_5,6,113852617239465003_5,1,1,113852617239465003
113852617239465003_6,7,113852617239465003_6,1,1,113852617239465003
113852617239465003_7,8,113852617239465003_7,1,1,113852617239465003
113852617239465003_8,9,113852617239465003_8,1,1,113852617239465003
113852617239465003_9,10,113852617239465003_9,1,1,113852617239465003
113852617239465003_10,11,113852617239465003_10,1,2,113852617239465003
113852639239465003_1,2,113852639239465003_1,1,1,113852639239465003
113852639239465003_2,3,113852639239465003_2,1,1,113852639239465003
113852639239465003_3,4,113852639239465003_3,1,1,113852639239465003
113852639239465003_4,5,113852639239465003_4,1,1,113852639239465003
113852639239465003_5,6,113852639239465003_5,1,1,113852639239465003
113852639239465003_6,7,113852639239465003_6,1,1,113852639239465003
113852639239465003_7,8,113852639239465003_7,1,1,113852639239465003
113852639239465003_8,9,113852639239465003_8,1,1,113852639239465003
113852639239465003_9,10,113852639239465003_9,1,1,113852639239465003
113852639239465003_10,11,113852639239465003_10,1,1,113852639239465003
113852733239465003_1,2,113852733239465003_1,2,1,113852733239465003
113852733239465003_2,3,113852733239465003_2,1,1,113852733239465003
113852733239465003_3,4,113852733239465003_3,1,1,113852733239465003
113852733239465003_4,5,113852733239465003_4,1,1,113852733239465003
113852733239465003_5,6,113852733239465003_5,1,1,113852733239465003
113852733239465003_6,7,113852733239465003_6,1,1,113852733239465003
113852733239465003_7,8,113852733239465003_7,1,1,113852733239465003
113852733239465003_8,9,113852733239465003_8,1,1,113852733239465003
113852733239465003_9,10,113852733239465003_9,1,1,113852733239465003
113852733239465003_10,11,113852733239465003_10,1,1,113852733239465003
113852743239465003_1,2,113852743239465003_1,2,1,113852743239465003
113852743239465003_2,3,113852743239465003_2,1,1,113852743239465003
113852743239465003_3,4,113852743239465003_3,1,1,113852743239465003
113852743239465003_4,5,113852743239465003_4,1,1,113852743239465003
113852743239465003_5,6,113852743239465003_5,1,1,113852743239465003
113852743239465003_6,7,113852743239465003_6,1,1,113852743239465003
113852743239465003_7,8,113852743239465003_7,1,1,113852743239465003
113852743239465003_8,9,113852743239465003_8,1,1,113852743239465003
113852743239465003_9,10,113852743239465003_9,1,1,113852743239465003
113852743239465003_10,11,113852743239465003_10,1,2,113852743239465003
113852872239465003_1,2,113852872239465003_1,2,1,113852872239465003
